Year,Data,ID2,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,Rad_wt,Rad_sp,Rad_sm,Rad_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
1973,Historical,Regional,51,-116,1500,-6.5,8.3,19.8,4.5,-15.7,-4.3,3.8,-4.4,-11.1,2,11.8,0.1,208,176,179,244,2.5,15.1,21,5.4,835,142,0,337,4,107,634,138,2424,1472,566,1633,0,2,8,2,1,17,80,30,204,74,4,76,0,139,335,77,0,2,156,11,61,56,52,68
1974,Historical,Regional,51,-116,1500,-4.9,6.6,19.7,8.3,-12.5,-4.8,4.3,-3.5,-8.7,0.9,12,2.4,362,182,171,141,2.3,14,20.2,6.1,791,209,0,182,7,80,643,148,2365,1578,557,1416,0,1,7,2,2,19,83,25,347,93,4,152,0,124,332,91,0,22,161,26,67,59,53,59
1975,Historical,Regional,51,-116,1500,-6.7,6.3,18.2,6.6,-15.5,-6.5,5.1,-4.1,-11.1,-0.1,11.7,1.2,224,68,270,140,2.4,14.7,19.3,6.4,1095,277,1,238,2,79,617,138,2700,1671,592,1527,0,1,12,2,0,14,82,23,213,42,8,66,0,83,305,86,0,57,67,45,62,54,59,63
1976,Historical,Regional,51,-116,1500,-5,7.6,17.2,7.8,-12.4,-5,4.3,-3.8,-8.7,1.3,10.7,2,271,156,283,145,2.4,15.6,20.7,5.8,721,231,1,213,6,120,541,169,2305,1540,668,1454,0,2,5,3,2,20,78,27,259,64,11,78,0,143,290,89,0,24,50,5,68,56,59,59
1977,Historical,Regional,51,-116,1500,-3.3,7.9,19,4.5,-11.4,-4,4.3,-4.7,-7.4,2,11.7,-0.1,109,132,235,185,2.6,15.1,20.7,5.4,937,168,0,271,7,110,613,86,2520,1480,586,1648,0,2,6,1,1,22,82,24,98,53,5,41,0,136,320,70,0,46,107,5,66,58,55,66
1978,Historical,Regional,51,-116,1500,-7.6,7.4,19.3,5.5,-16.5,-3.9,4.8,-4.4,-12.1,1.8,12,0.5,214,164,211,241,2.5,14.8,21.7,5.4,1068,145,0,271,3,89,649,135,2665,1496,552,1588,0,1,8,2,0,19,83,30,212,76,4,111,0,126,322,75,0,16,112,0,62,60,56,64
1979,Historical,Regional,51,-116,1500,-9.6,7.6,20.9,7.5,-19.3,-5.2,4.6,-3.8,-14.5,1.2,12.7,1.9,154,112,120,100,2.4,14.7,20.2,6.1,1146,169,0,238,3,80,718,176,2741,1547,486,1469,0,1,12,3,1,14,83,31,153,61,2,115,0,129,348,88,0,37,228,13,58,55,51,60
1980,Historical,Regional,51,-116,1500,-5.6,9.1,17.8,6.9,-13.9,-3.8,4.1,-2.7,-9.8,2.6,11,2.1,334,179,267,212,2.2,14.1,19.6,5.8,989,186,0,186,3,167,551,130,2582,1417,648,1446,0,3,5,1,1,26,81,31,308,63,8,18,0,154,302,78,0,35,64,0,64,56,57,66
1981,Historical,Regional,51,-116,1500,-4.2,8.7,18.8,7.4,-11.4,-3.7,4.3,-2.1,-7.8,2.5,11.5,2.7,248,192,284,105,2.4,14.1,19.3,6,765,121,1,144,6,117,608,147,2343,1428,601,1397,0,2,11,2,2,22,80,31,234,56,10,96,0,133,312,80,0,2,102,30,69,57,56,66
1982,Historical,Regional,51,-116,1500,-7.9,6,18.7,5.6,-16.3,-6.5,4.9,-4.1,-12.1,-0.2,11.8,0.7,231,154,251,179,2.3,15.2,18.7,5.9,1068,266,0,264,2,69,626,135,2672,1677,574,1572,0,1,7,2,0,11,85,29,228,110,5,35,0,82,311,79,0,34,60,0,63,55,57,65
1983,Historical,Regional,51,-116,1500,-3.4,8.9,18.7,5.7,-10.2,-3.7,5.2,-3,-6.8,2.6,12,1.3,187,103,302,138,2.5,14.7,19.5,5.9,918,131,0,177,9,131,643,86,2488,1420,557,1517,0,2,10,1,3,20,86,24,160,50,6,70,0,146,307,72,0,68,36,0,71,57,58,69
1984,Historical,Regional,51,-116,1500,-6,7.2,19.5,3.8,-13.9,-3.7,4.7,-5.1,-9.9,1.7,12.1,-0.6,151,136,207,174,2.5,14,20.5,5.3,868,130,0,278,8,79,657,61,2443,1499,546,1698,0,1,9,1,2,19,83,18,133,65,4,59,0,120,325,66,0,13,119,0,66,61,55,67
1985,Historical,Regional,51,-116,1500,-8.2,8.3,19.8,0.3,-16.6,-4.1,4.2,-7.8,-12.4,2.1,12,-3.7,176,140,206,251,2.7,15,20.8,5.6,938,178,0,534,3,137,644,53,2546,1464,566,1975,0,2,13,0,1,22,80,18,175,48,7,98,0,143,335,61,0,31,148,0,63,57,53,69
1986,Historical,Regional,51,-116,1500,-4.6,9.1,19.1,5.2,-12,-2.7,5,-3.9,-8.3,3.2,12.1,0.6,162,144,280,252,2.6,14.4,19.8,5.7,729,94,0,242,7,134,651,94,2307,1366,549,1579,0,2,10,1,3,24,86,26,146,46,6,131,0,170,315,71,0,25,78,0,68,59,57,67
1987,Historical,Regional,51,-116,1500,-3.1,9.7,18.8,9.8,-10.8,-2.5,5.3,-2.3,-6.9,3.6,12,3.8,117,137,270,90,2.5,14.7,20,6.8,701,109,0,123,7,171,644,205,2280,1325,548,1297,0,3,8,3,2,29,85,29,102,55,5,125,0,151,311,99,0,67,63,42,68,58,58,60
1988,Historical,Regional,51,-116,1500,-5.4,9.3,19,7.7,-13.7,-2.8,5.2,-2.6,-9.5,3.2,12.1,2.6,142,164,281,148,2.6,14.8,20.6,5.8,886,107,0,174,4,144,654,147,2483,1361,547,1406,0,2,7,2,1,24,86,30,136,60,5,22,0,148,313,85,0,41,32,0,65,58,58,64
1989,Historical,Regional,51,-116,1500,-6.9,7.4,18.9,6.7,-15.4,-5.2,5.8,-3.3,-11.2,1.1,12.3,1.7,227,111,242,179,2.4,14.7,19.7,6,968,217,0,212,3,100,677,138,2568,1556,526,1487,0,2,10,2,1,18,87,26,217,56,5,43,0,137,311,83,0,54,100,14,63,55,59,65
1990,Historical,Regional,51,-116,1500,-5,8.6,19.2,7,-12.2,-3.8,6,-2.9,-8.6,2.4,12.6,2,212,187,305,151,2.4,14,19.4,6.5,996,130,0,229,3,110,705,197,2601,1439,498,1456,0,2,13,4,1,23,86,29,197,54,5,94,0,131,313,91,0,3,14,63,69,57,59,66
1991,Historical,Regional,51,-116,1500,-6.1,7.7,19.1,6.8,-13.2,-4.8,5.7,-4.9,-9.7,1.5,12.4,1,231,188,247,137,2.4,14.6,19.3,6.1,694,205,0,252,16,111,690,135,2243,1526,513,1553,0,2,13,2,5,21,86,20,188,76,5,103,0,137,312,87,0,11,67,27,69,56,59,59
1992,Historical,Regional,51,-116,1500,-1.9,10.5,18.9,5.6,-9,-2.8,4.8,-3.4,-5.4,3.9,11.9,1.1,113,152,251,234,2.4,14.9,19.3,5.4,792,68,0,210,10,144,631,92,2357,1303,568,1541,0,2,7,1,3,24,84,25,88,37,4,79,0,182,315,72,0,44,65,0,71,55,57,68
1993,Historical,Regional,51,-116,1500,-8.2,9.7,15.9,6.4,-18.6,-3.5,4.7,-4.6,-13.4,3.1,10.3,0.9,164,149,349,136,2.7,14.4,18,6.1,1006,147,1,253,3,185,484,126,2601,1373,714,1557,0,4,3,1,1,25,84,23,163,53,13,121,0,157,264,85,0,51,0,4,56,55,64,61
1994,Historical,Regional,51,-116,1500,-5.1,9.7,19.9,7,-12.6,-2.8,4.9,-4.1,-8.9,3.4,12.4,1.4,190,140,219,195,2.2,14.3,20.7,6.1,883,96,0,258,4,147,686,180,2475,1342,521,1510,0,2,12,3,1,25,84,27,171,38,5,58,0,145,331,91,0,32,123,6,68,57,54,61
1995,Historical,Regional,51,-116,1500,-5.2,7.8,17,5.7,-13.9,-5.3,4.9,-4.2,-9.5,1.2,11,0.7,155,135,302,259,2.7,15.5,19.6,5.5,917,196,0,252,3,95,548,116,2513,1546,651,1575,0,1,4,1,1,15,84,22,149,69,9,80,0,138,283,80,0,37,19,25,63,54,62,65
1996,Historical,Regional,51,-116,1500,-7.7,5.4,19.5,3.4,-16.3,-5.2,4.9,-4.4,-12,0.1,12.2,-0.5,279,188,160,380,2.6,14.5,21.9,5,1225,250,0,289,2,67,671,95,2831,1653,531,1681,0,1,10,1,0,17,84,28,275,111,3,175,0,116,324,68,0,8,163,0,63,61,55,71
1997,Historical,Regional,51,-116,1500,-7.7,6.6,18.3,6.5,-15.4,-4.8,5.3,-1.8,-11.5,0.9,11.8,2.4,272,217,271,168,2.7,15.3,20.5,5.6,823,219,0,194,6,98,631,169,2403,1577,572,1426,0,2,7,3,1,19,86,38,267,105,5,235,0,132,302,76,0,0,72,0,66,59,59,71
1998,Historical,Regional,51,-116,1500,-3.6,9.3,20.3,8.3,-10.8,-2.7,6.4,-1.4,-7.2,3.3,13.4,3.5,177,190,260,201,2.5,15.2,18.9,5.6,781,150,0,155,8,196,773,217,2360,1356,440,1324,0,4,19,4,2,30,88,36,161,69,3,46,0,155,325,92,0,23,84,26,70,59,58,67
1999,Historical,Regional,51,-116,1500,-4.1,7.8,17.3,6.6,-10.8,-4.3,4.9,-2.5,-7.5,1.8,11.1,2,227,182,328,113,2.5,15.8,20.9,5.7,597,147,1,164,10,90,566,118,2159,1497,636,1456,0,1,7,1,4,17,83,27,207,85,11,76,0,132,287,78,0,22,12,36,71,57,61,68
2000,Historical,Regional,51,-116,1500,-5,6.3,18.1,4.7,-12.3,-4.1,3.5,-5,-8.6,1.1,10.8,-0.2,193,152,252,136,2.6,15.2,21.9,5.6,1009,164,1,275,3,71,543,89,2611,1557,660,1652,0,1,5,1,0,16,77,21,182,94,9,53,0,123,309,74,0,31,62,0,69,62,55,64
2001,Historical,Regional,51,-116,1500,-7.3,6.2,19,6.3,-15.4,-4.4,4.8,-2.7,-11.3,0.9,11.9,1.8,137,101,252,164,2.8,15,20.1,5,973,214,1,195,3,100,645,140,2574,1575,559,1479,0,2,9,2,1,20,84,28,133,65,7,55,0,83,314,79,0,50,97,39,65,61,57,68
2002,Historical,Regional,51,-116,1500,-6.3,2.9,18.7,5.7,-13.1,-8.6,3.8,-4.2,-9.7,-2.8,11.2,0.7,174,156,165,141,2.4,15,21.8,5.3,805,433,0,216,5,41,576,86,2396,1919,620,1577,0,1,6,1,1,8,79,21,167,114,5,94,0,71,318,49,0,4,152,0,70,57,54,64
2003,Historical,Regional,51,-116,1500,-4.6,5.6,20.6,5.7,-12,-5,4.8,-5.5,-8.3,0.3,12.7,0.1,121,222,226,274,2.6,15.2,21.4,5.6,816,239,0,325,4,70,716,121,2413,1635,487,1630,0,1,12,1,1,16,84,23,112,142,3,54,0,122,342,84,0,37,116,0,68,61,53,60
2004,Historical,Regional,51,-116,1500,-5.3,8.9,19.5,5.4,-14,-4.1,4.6,-4.1,-9.7,2.4,12.1,0.7,94,120,300,122,2.5,15.2,20.1,5.1,859,107,0,218,5,95,657,81,2444,1438,544,1581,0,1,8,1,1,15,81,21,92,53,6,142,0,139,326,70,0,57,85,0,63,55,55,65
2005,Historical,Regional,51,-116,1500,-4.4,9.3,17.7,5.3,-13.4,-4.2,3.3,-3.9,-8.9,2.6,10.5,0.7,228,80,354,241,2.7,15.4,21,5.1,890,128,1,213,4,123,512,77,2483,1423,691,1574,0,2,4,1,1,17,76,20,215,37,17,50,0,151,302,72,0,102,62,0,62,54,56,67
2006,Historical,Regional,51,-116,1500,-4.2,8.6,20.6,6,-12,-5,4.3,-5.1,-8.1,1.8,12.4,0.4,123,129,226,232,2.5,15.1,20.8,5.3,671,196,0,280,9,124,683,137,2245,1494,519,1599,0,2,12,2,3,18,79,21,101,45,4,85,0,150,345,87,0,43,119,0,67,53,51,61
2007,Historical,Regional,51,-116,1500,-4.9,8.4,20.3,5.8,-12.7,-3.6,4.5,-4,-8.8,2.4,12.4,0.9,162,203,188,160,2.2,15.1,20.3,5.3,932,117,0,232,3,111,685,102,2535,1434,528,1558,0,2,17,1,1,19,80,23,152,102,5,114,0,137,342,77,0,29,154,0,66,58,52,65
2008,Historical,Regional,51,-116,1500,-5.6,6.7,18.7,7.3,-14.9,-5.6,3.3,-3.4,-10.3,0.5,11,1.9,194,142,186,139,2.3,15,20.9,5.5,1041,226,1,156,3,86,561,107,2636,1607,642,1465,0,1,5,1,0,15,75,21,189,70,6,57,0,84,320,82,0,8,134,7,61,56,53,63
2009,Historical,Regional,51,-116,1500,-6.5,6.5,19.4,6.5,-15.8,-6,3.4,-3.6,-11.1,0.2,11.4,1.4,190,109,236,105,2.7,15.5,20.7,5.5,1039,249,1,253,3,77,599,175,2643,1638,600,1516,0,1,6,3,0,12,75,25,186,67,5,51,0,134,330,68,0,63,96,44,60,55,51,64
2010,Historical,Regional,51,-116,1500,-5,8.5,18.4,5.3,-13.6,-4.7,3.3,-4.5,-9.3,1.9,10.9,0.4,75,108,196,143,2.6,15.1,20.2,5.1,745,107,1,261,8,74,543,108,2322,1486,658,1598,0,1,4,1,1,11,76,27,69,58,7,66,0,165,316,76,0,56,120,17,63,54,53,65
2011,Historical,Regional,51,-116,1500,-7.4,5.4,18.6,6.9,-16.3,-6.3,4,-4,-11.9,-0.4,11.3,1.5,143,190,191,121,-9999,-9999,-9999,-9999,1018,282,1,247,2,67,584,166,2626,1698,619,1507,0,1,6,3,1,12,80,26,139,120,5,53,0,82,313,89,0,2,122,44,61,57,55,62
2012,Historical,Regional,51,-116,1500,-5.2,7.4,19.8,6.4,-12.7,-4.6,4.1,-4.6,-9,1.4,11.9,0.9,76,161,268,138,-9999,-9999,-9999,-9999,875,166,1,260,4,83,648,141,2472,1530,559,1559,0,1,9,2,1,13,80,20,72,109,10,63,0,137,332,67,0,63,152,33,68,57,53,62
2013,Historical,Regional,51,-116,1500,-4.4,7.6,19.6,6.4,-12.2,-5.5,4.7,-4.2,-8.3,1,12.1,1.1,99,157,226,153,-9999,-9999,-9999,-9999,769,203,0,263,7,95,664,162,2356,1564,539,1540,0,2,9,3,2,13,83,27,92,87,6,82,0,137,326,85,0,32,150,0,67,54,55,62
2014,Historical,Regional,51,-116,1500,-6.3,6.2,19.8,6.5,-14.9,-6,5,-4.2,-10.6,0.1,12.4,1.2,135,208,185,254,-9999,-9999,-9999,-9999,892,274,0,252,4,86,688,141,2482,1647,518,1531,0,1,13,2,1,15,81,29,123,115,4,70,0,135,329,84,0,1,144,0,63,56,55,62
2015,Historical,Regional,51,-116,1500,-2.9,10.2,20.9,6.4,-10.8,-3.8,4.5,-4.2,-6.8,3.2,12.7,1.1,117,74,196,247,-9999,-9999,-9999,-9999,686,83,0,236,8,125,711,114,2263,1361,490,1536,0,2,10,1,2,16,83,26,100,29,3,132,0,185,350,79,0,111,154,0,67,53,51,62
2011,CNRM_RCP45,Regional,51,-116,1500,-4,9.7,21.3,7.4,-12,-3.3,7.2,-2.6,-8,3.2,14.3,2.4,251,116,261,145,2.5,15,19.9,6,746,165,0,178,6,195,854,160,2336,1367,367,1420,0,4,25,2,1,28,90,30,233,49,2,48,0,161,342,84,0,85,86,5,66,55,57,65
2012,CNRM_RCP45,Regional,51,-116,1500,-5.1,8,21.8,7.2,-13.3,-3,6.1,-2.4,-9.2,2.5,14,2.4,255,163,167,194,2,14.5,21.4,5,883,142,0,198,8,134,830,180,2455,1427,399,1419,0,2,33,3,2,27,86,33,229,62,2,76,0,135,354,83,0,15,187,0,65,61,53,66
2013,CNRM_RCP45,Regional,51,-116,1500,-7.5,9.7,22.1,6.3,-15.4,-2.4,6.2,-3.2,-11.4,3.6,14.1,1.6,264,126,206,193,2.9,14.7,21.1,5.1,1036,86,0,212,6,147,841,130,2622,1325,381,1499,0,2,26,2,2,26,86,28,221,42,1,81,0,145,360,78,0,62,154,0,65,59,53,66
2014,CNRM_RCP45,Regional,51,-116,1500,-3.8,9.5,20.4,9.2,-11.8,-3,6.9,-0.6,-7.8,3.3,13.6,4.3,252,127,295,162,2.7,15.1,19.5,5.4,752,127,0,144,9,171,799,250,2321,1359,418,1248,0,3,22,5,2,28,88,44,213,40,3,55,0,147,326,93,0,42,38,36,66,57,59,67
2015,CNRM_RCP45,Regional,51,-116,1500,-7.4,11.3,22.7,6.6,-16,-2.1,8.1,-2.6,-11.7,4.6,15.4,2,200,104,249,213,2.6,15.3,20.2,-9999,1048,154,0,234,2,287,957,180,2653,1246,288,1456,0,9,53,3,1,39,90,35,193,26,1,85,0,172,359,84,0,93,109,0,63,55,56,68
2016,CNRM_RCP45,Regional,51,-116,1500,-3.4,8.4,20.7,6.7,-11.3,-4.3,6.6,-2.1,-7.4,2,13.7,2.3,308,107,298,206,-9999,15.2,19.6,4.9,709,150,0,192,8,113,799,156,2283,1471,404,1429,0,2,18,2,2,18,89,35,281,56,2,75,0,139,334,79,0,60,74,0,67,56,57,69
2017,CNRM_RCP45,Regional,51,-116,1500,-4.4,10.1,20.5,6.6,-13.1,-2.3,5.4,-3,-8.8,3.9,12.9,1.8,107,114,211,205,4.2,15.2,20.7,5.6,804,77,0,220,5,151,732,156,2399,1302,471,1475,0,2,12,2,1,29,86,31,99,22,3,59,0,175,337,79,0,61,126,0,63,58,54,66
2018,CNRM_RCP45,Regional,51,-116,1500,-5.4,7.2,21.9,6.8,-13,-5,5.9,-3.8,-9.2,1.1,13.9,1.5,282,130,183,122,2.4,14.6,21.2,6.7,850,207,0,244,5,91,818,162,2442,1558,388,1502,0,1,19,2,1,17,88,29,261,67,2,50,0,134,360,85,0,40,177,17,67,57,52,63
2019,CNRM_RCP45,Regional,51,-116,1500,-3.7,9.8,20.3,7.9,-11.4,-2.2,6.2,-1.9,-7.5,3.8,13.3,3,181,165,272,148,2.7,14.5,20.1,5.9,713,123,0,195,7,204,765,194,2293,1309,439,1363,0,4,14,3,2,35,88,39,165,50,3,41,0,149,329,87,0,35,57,10,67,59,57,66
2020,CNRM_RCP45,Regional,51,-116,1500,-5,9.3,19.9,7.7,-13.1,-3,5.8,-2.7,-9.1,3.1,12.8,2.5,205,142,273,158,2.7,14.7,19.9,5.7,846,155,0,211,5,194,720,188,2436,1369,485,1410,0,4,12,3,1,31,87,33,195,49,3,71,0,148,325,91,0,36,80,36,65,57,57,64
2021,CNRM_RCP45,Regional,51,-116,1500,-6.5,5.5,19.6,7.6,-14.6,-6.2,5.9,-1.7,-10.5,-0.4,12.8,3,252,151,312,164,1.9,14.6,19.9,5.5,973,282,0,158,3,65,718,163,2568,1694,486,1370,0,1,13,2,1,11,87,35,246,105,5,48,0,129,318,82,0,49,60,2,65,58,58,67
2022,CNRM_RCP45,Regional,51,-116,1500,-4.3,8.5,21.4,7.8,-12.5,-3.2,6.1,-2.3,-8.4,2.6,13.7,2.8,275,190,167,240,2.4,14.6,21,5.4,804,132,0,240,9,119,804,251,2382,1420,395,1384,0,2,18,5,2,24,88,40,241,61,1,102,0,136,348,93,0,18,182,0,65,59,54,65
2023,CNRM_RCP45,Regional,51,-116,1500,-6,6.6,19.2,6.7,-14,-5.1,4.6,-2.9,-10,0.7,11.9,1.9,292,146,201,208,-9999,14.9,20.8,5.4,922,200,1,248,4,70,646,192,2513,1592,558,1461,0,1,9,3,1,15,82,38,256,79,5,90,0,124,321,84,0,18,120,0,66,58,55,66
2024,CNRM_RCP45,Regional,51,-116,1500,-2.4,9,19.9,7.5,-9.7,-2.8,5.9,-1.8,-6,3.1,12.9,2.9,260,143,313,188,2.1,14.7,19.6,5.4,604,125,0,187,12,147,728,179,2165,1373,478,1377,0,2,13,2,3,29,88,38,213,46,4,65,0,141,324,83,0,34,40,0,70,59,57,68
2025,CNRM_RCP45,Regional,51,-116,1500,-7.8,7.7,21.9,6.7,-16,-4.1,7,-3.5,-11.9,1.8,14.4,1.6,168,154,242,169,3.3,14.7,20.7,6.2,1074,209,0,231,2,150,867,149,2676,1494,349,1496,0,3,25,2,1,25,90,28,163,67,2,68,0,141,351,84,0,22,109,26,64,58,55,64
2026,CNRM_RCP45,Regional,51,-116,1500,-2.8,9.2,20.2,9.5,-10,-2.7,6.4,-0.9,-6.4,3.3,13.3,4.3,259,168,274,196,2.5,14.5,20,6.2,627,130,0,135,9,154,767,244,2190,1362,434,1248,0,3,14,5,3,31,89,41,216,45,3,54,0,142,324,95,0,14,55,6,69,59,58,65
2027,CNRM_RCP45,Regional,51,-116,1500,-4.4,11.2,21.4,8.1,-13.3,-1,7,-1.2,-8.8,5.1,14.2,3.5,192,165,239,133,3.4,14.4,20.3,5.8,832,60,0,128,6,222,851,182,2417,1188,362,1326,0,4,23,3,1,38,90,37,182,28,2,38,0,186,343,86,0,32,104,35,63,59,56,68
2028,CNRM_RCP45,Regional,51,-116,1500,-4.6,9.5,20.7,4.7,-12.7,-2.8,5.9,-5,-8.6,3.3,13.3,-0.2,346,149,234,213,-9999,14.9,20.5,4.8,789,165,0,345,5,204,764,128,2388,1352,441,1654,0,4,16,2,1,33,88,27,316,42,2,112,0,154,338,78,0,39,118,0,65,58,55,65
2029,CNRM_RCP45,Regional,51,-116,1500,-3.3,9,22,6.5,-11,-3.2,7,-3.3,-7.2,2.9,14.5,1.6,320,124,193,211,2.2,15,20.9,4.9,694,144,0,221,9,162,878,132,2267,1392,338,1490,0,3,27,1,2,27,89,31,286,48,1,85,0,145,354,78,0,50,161,0,68,57,55,65
2030,CNRM_RCP45,Regional,51,-116,1500,-4.7,7.7,22.7,8.9,-12.7,-4.4,7,-2.9,-8.7,1.7,14.9,3,256,157,197,155,2.3,14.6,21.3,7,811,232,0,255,5,145,913,308,2399,1508,336,1379,0,3,52,13,1,27,88,37,241,63,2,54,0,141,365,105,0,34,168,67,66,57,53,60
2031,CNRM_RCP45,Regional,51,-116,1500,-3.6,9.3,20.7,8,-11.1,-2.7,6.5,-1.5,-7.4,3.3,13.6,3.2,288,163,236,212,-9999,14.8,20.3,5.1,710,73,0,214,8,113,791,228,2285,1358,413,1340,0,2,17,3,2,23,89,45,261,51,2,93,0,166,333,87,0,7,98,0,68,59,57,67
2032,CNRM_RCP45,Regional,51,-116,1500,-5.6,7.3,19.8,7,-13.7,-5.2,5.2,-3,-9.7,1,12.5,2,215,162,199,166,2.9,15.1,20.6,5.9,888,232,0,211,4,100,695,161,2486,1565,512,1460,0,2,13,2,1,20,84,30,206,56,4,70,0,135,328,83,0,0,129,14,65,55,55,65
2033,CNRM_RCP45,Regional,51,-116,1500,-3.1,8.8,22.4,4.2,-11.6,-2.7,6.6,-5.4,-7.3,3,14.5,-0.6,309,182,196,222,2.1,14.7,21.4,5.2,699,94,0,432,8,116,877,175,2280,1381,338,1694,0,2,30,3,2,24,89,31,272,64,1,109,0,134,363,81,0,10,168,0,65,60,53,65
2034,CNRM_RCP45,Regional,51,-116,1500,-2.4,10.1,21.2,7.4,-10.2,-1.5,6.7,-2.7,-6.3,4.3,14,2.4,266,133,211,136,-9999,14.8,20.3,5.8,620,66,0,202,9,164,828,172,2182,1264,379,1424,0,3,21,2,2,32,89,33,224,31,1,52,0,175,341,85,0,49,130,16,67,61,56,64
2035,CNRM_RCP45,Regional,51,-116,1500,-5,9,20.8,8,-13.2,-3.2,7.2,-1.9,-9.1,2.9,14,3,265,132,320,163,-9999,14.9,19.6,5.8,839,150,0,215,5,157,826,250,2433,1394,376,1367,0,3,20,7,1,26,90,38,243,47,2,68,0,150,332,93,0,55,58,40,65,58,58,66
2036,CNRM_RCP45,Regional,51,-116,1500,-3.9,6.8,20.8,8.6,-11.5,-4.1,5.8,-1.6,-7.7,1.3,13.3,3.5,212,223,171,143,2.4,13.9,21.1,6.1,749,215,0,170,10,105,768,216,2320,1540,444,1324,0,2,17,4,2,23,87,37,189,94,2,53,0,131,340,90,0,0,169,15,68,61,55,65
2037,CNRM_RCP45,Regional,51,-116,1500,-4.1,7.8,19.5,7.7,-11.8,-3.9,4.9,-2.2,-8,2,12.2,2.8,247,169,240,176,2.5,14.6,20.7,5.7,762,148,0,200,7,101,673,190,2338,1478,528,1386,0,2,10,3,2,22,83,37,224,65,4,68,0,128,323,86,0,17,94,5,67,59,55,66
2038,CNRM_RCP45,Regional,51,-116,1500,-4.5,9.5,21.4,6.5,-12.6,-1.4,6.9,-2.5,-8.5,4,14.2,2,213,175,251,240,2.7,14.2,20.5,5.3,829,72,0,200,12,158,844,151,2398,1287,368,1461,0,2,24,2,2,33,89,33,179,44,2,77,0,169,343,75,0,13,106,0,66,63,56,68
2039,CNRM_RCP45,Regional,51,-116,1500,-4.7,9.9,21.2,6.3,-12.4,-2.5,6.7,-2.9,-8.5,3.7,14,1.7,313,116,255,204,-9999,15.1,20.2,5.1,803,82,0,160,5,146,826,89,2386,1320,388,1486,0,2,22,1,1,28,88,25,290,27,2,78,0,140,341,73,0,41,99,0,67,58,56,67
2040,CNRM_RCP45,Regional,51,-116,1500,-3.4,8.8,20.9,6.2,-11.6,-3.5,6.4,-2.4,-7.5,2.6,13.6,1.9,258,116,203,223,2.7,15.2,20.2,4.6,712,133,0,189,7,127,797,128,2293,1417,421,1467,0,2,23,1,1,21,88,32,234,56,2,80,0,146,336,74,0,77,133,0,66,57,56,69
2041,CNRM_RCP45,Regional,51,-116,1500,-2.5,9.3,21.7,7,-10.9,-3.4,7.6,-2.4,-6.7,2.9,14.7,2.3,190,149,289,186,2.9,15,19.7,5.2,648,211,0,187,8,231,886,163,2216,1391,331,1429,0,6,28,2,2,33,90,32,165,41,1,87,0,157,343,81,0,31,65,22,65,56,57,67
2042,CNRM_RCP45,Regional,51,-116,1500,-4.4,9.8,21.4,9.2,-11.9,-2.1,6.4,-0.6,-8.1,3.9,13.9,4.3,246,133,230,226,2.2,14.5,20.6,5.4,759,126,0,122,5,214,821,244,2346,1296,393,1249,0,5,22,5,1,33,88,40,231,58,2,69,0,156,345,89,0,77,116,0,68,59,55,66
2043,CNRM_RCP45,Regional,51,-116,1500,-3,9.2,20.6,9.4,-11.1,-2.5,6.2,-0.5,-7.1,3.3,13.4,4.5,178,134,254,152,2.3,14.7,20.4,5.7,681,98,0,123,8,144,776,238,2256,1353,425,1232,0,2,15,4,2,28,88,43,159,42,2,42,0,137,334,91,0,33,80,6,66,59,56,66
2044,CNRM_RCP45,Regional,51,-116,1500,-2.5,9.9,21.3,6.7,-10.3,-1.7,7.6,-2.3,-6.4,4.1,14.4,2.2,227,159,325,171,2.4,14.5,20,4.9,630,80,0,182,11,185,866,142,2198,1281,347,1442,0,3,25,2,3,32,90,32,198,41,2,58,0,177,337,77,0,17,38,0,67,60,58,68
2045,CNRM_RCP45,Regional,51,-116,1500,-4.1,7.9,20.6,7.5,-11.7,-3.4,6.3,-2.5,-7.9,2.2,13.4,2.5,154,146,217,146,3,14.5,20.2,5.7,756,134,0,195,7,113,776,167,2332,1453,428,1408,0,2,16,2,2,23,88,34,139,66,2,52,0,130,334,84,0,20,117,0,68,60,57,65
2046,CNRM_RCP45,Regional,51,-116,1500,-4.2,8.6,21.8,7.6,-12.1,-3.6,7.3,-2.1,-8.1,2.5,14.6,2.8,371,177,195,170,-9999,14.8,20.6,5.5,781,137,0,189,9,138,882,189,2358,1427,339,1388,0,2,27,3,2,22,90,35,341,98,1,57,0,142,349,86,0,47,154,2,67,57,56,66
